Geography,Name,Level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MN 11,East Harlem,Community District,210,59,998,165,"1,254",395,764,119,224,789,981,650,536,270,527,136,105,318,315,343
MN 12,Washington Heights/Inwood,Community District,0,0,117,0,6,0,0,108,25,61,40,138,0,16,77,68,62,35,103,104
QN 01,Astoria,Community District,193,162,260,116,78,431,397,447,516,624,749,425,408,462,568,658,869,"1,110","1,410",972
QN 02,Woodside/Sunnyside,Community District,66,103,70,481,85,85,754,"1,002",604,606,272,223,807,"2,172","1,063",981,"1,172","2,829","2,435",879
QN 03,Jackson Heights,Community District,72,90,190,200,185,321,336,326,420,183,204,194,165,185,76,51,85,66,83,191
QN 04,Elmhurst/Corona,Community District,138,114,201,316,219,335,416,335,335,340,276,229,235,75,127,104,166,136,234,344
QN 05,Ridgewood/Maspeth,Community District,140,91,76,109,110,146,268,217,236,164,184,48,21,39,17,88,56,171,86,169
QN 06,Rego Park/Forest Hills,Community District,171,12,102,25,50,117,72,11,127,187,92,77,80,48,68,435,29,95,173,35
QN 07,Flushing/Whitestone,Community District,596,293,407,451,621,520,727,674,713,"1,452",481,437,347,424,449,227,372,270,288,"1,109"
QN 08,Hillcrest/Fresh Meadows,Community District,94,51,38,202,113,664,161,232,376,394,174,324,85,92,21,71,74,70,141,120
QN 09,Kew Gardens/Woodhaven,Community District,41,47,54,80,106,198,382,201,269,75,51,146,56,220,16,19,191,9,27,43
QN 10,South Ozone Park/Howard Beach,Community District,40,40,103,55,146,161,156,132,129,46,51,61,15,35,30,41,42,20,15,36
QN 11,Bayside/Little Neck,Community District,49,69,59,58,112,137,207,207,162,86,115,108,58,85,89,46,56,59,50,76
QN 12,Jamaica/Hollis,Community District,250,166,240,315,418,819,689,663,653,437,687,150,141,90,309,129,142,79,812,337
QN 13,Queens Village,Community District,64,125,304,152,92,191,188,185,238,155,90,49,58,43,38,28,18,34,37,27
QN 14,Rockaway/Broad Channel,Community District,266,231,276,402,444,567,990,837,686,373,231,218,155,174,200,244,184,331,526,316
SI 01,St. George/Stapleton,Community District,839,669,532,936,860,776,659,403,284,387,363,221,197,194,91,157,804,216,158,200
SI 02,South Beach/Willowbrook,Community District,700,811,333,750,722,426,458,383,250,207,140,120,149,104,167,199,199,205,403,189
SI 03,Tottenville/Great Kills,Community District,"1,825","1,314",981,"1,735",674,717,739,648,479,280,272,264,246,301,244,186,243,256,300,256
